STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2016,,517470,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2017,,549530,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2018,,579410,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2019,,599830,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2020,,583540,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2021,,663900,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2022,,773930,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2016,,40690,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2017,,41760,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2018,,43360,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2019,,44570,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2020,,42650,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita - annual data,A,Annual,CP_NAC_HAB,"Current prices, units of national currency per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2021,,45380,,,,,
